編號,欄位名稱,DCS參數編號,DCS點描述,資料表來源,流程罐,備註,資料累積程度,關鍵參數程度,視覺化呈現,is_categorical
1,PdateTime,,,,系統資料,,0,0,,0
2,Line,,,,系統資料,,0,0,,1
3,SerialNo_Scada_CP6_14,,,R_MES_Scada_CP6,系統資料,,0,0,,1
4,Capacity_14,,14區產量,R_MES_Scada_CP6,R5P,,1,0,,0
5,R5_AGI_OP_14,SIC1205P.OP,14區R5攪拌機INV SP,R_MES_Scada_CP6,R5P,,1,0,,0
6,R5_AGI_AMP_14,JR1205P.PV,14區R5攪拌機電流,R_MES_Scada_CP6,R5P,,1,0,,0
7,R5_VACCUM_PRESSURE_14,PRC09-08.PV,14區R5罐壓實際值,R_MES_Scada_CP6,R5P,,1,0,,0
8,R5_IN_LEVEL_14,LR09-03.PV,14區R5前段液位實際值,R_MES_Scada_CP6,R5P,,1,0,,0
9,R5_OUT_LEVEL_14,LR09-07.PV,14區R5後段液位實際值,R_MES_Scada_CP6,R5P,,1,0,,0
10,R5_IN_TEMP_14,TR09-04.PV,14區R5前段溫度實際值,R_MES_Scada_CP6,R5P,,1,0,,0
11,R5_OUT_TEMP_14,TR09-06.PV,14區R5後段溫度實際值,R_MES_Scada_CP6,R5P,,1,0,,0
12,R5_DELETA_TEMP_14,ΔT 0906-0904,14區R5前後段溫差,R_MES_Scada_CP6,R5P,,1,0,,0
13,CPF_IN_PRESSURE_14,PRC12-22.PV,14區CPF進口壓力,R_MES_Scada_CP6,R5P,,1,0,,0
14,CPF_OUT_PRESSURE_14,PRC12-17.PV,14區CPF出口壓力,R_MES_Scada_CP6,R5P,,1,0,,0
15,R5_DELETA_PRESSURE_14,ΔP 1222-1217,14區CPF進出口壓力差,R_MES_Scada_CP6,R5P,,1,0,,0
16,R5_IV_14,VC12-07.PV,14區黏度計線上偵測IV,R_MES_Scada_CP6,R5P,,1,0,,0
17,CreatTime_Scada_CP6_14,,,R_MES_Scada_CP6,系統資料,,0,0,,0
18,SerialNo_Scada_CP6_15,,,R_MES_Scada_CP6,系統資料,,0,0,,1
19,Capacity_15,,15區產量,R_MES_Scada_CP6,R5F,,1,0,,0
20,R5_AGI_OP_15,SIC1205F.OP,15區R5攪拌機INV SP,R_MES_Scada_CP6,R5F,,1,0,,0
21,R5_AGI_AMP_15,JR1205F.PV,15區R5攪拌機電流,R_MES_Scada_CP6,R5F,,1,0,,0
22,R5_VACCUM_PRESSURE_15,PRC19-08.PV,15區R5罐壓實際值,R_MES_Scada_CP6,R5F,,1,0,,0
23,R5_IN_LEVEL_15,LR19-03.PV,15區R5前段液位實際值,R_MES_Scada_CP6,R5F,,1,0,,0
24,R5_OUT_LEVEL_15,LR19-07.PV,15區R5後段液位實際值,R_MES_Scada_CP6,R5F,,1,0,,0
25,R5_IN_TEMP_15,TR19-04.PV,15區R5前段溫度實際值,R_MES_Scada_CP6,R5F,,1,0,,0
26,R5_OUT_TEMP_15,TR19-06.PV,15區R5後段溫度實際值,R_MES_Scada_CP6,R5F,,1,0,,0
27,R5_DELETA_TEMP_15,ΔT 1906-1904,15區R5前後段溫差,R_MES_Scada_CP6,R5F,,1,0,,0
28,CPF_IN_PRESSURE_15,PRC22-22.PV,15區CPF進口壓力,R_MES_Scada_CP6,R5F,,1,0,,0
29,CPF_OUT_PRESSURE_15,PRC22-17.PV,15區CPF出口壓力,R_MES_Scada_CP6,R5F,,1,0,,0
30,R5_DELETA_PRESSURE_15,ΔP 2222-2217,15區CPF進出口壓力差,R_MES_Scada_CP6,R5F,,1,0,,0
31,R5_IV_15,VC22-07.PV,15區黏度計線上偵測IV,R_MES_Scada_CP6,R5F,,1,0,,0
32,CreatTime_Scada_CP6_15,,,R_MES_Scada_CP6,系統資料,,0,0,,0
33,z_Capacity_SUM,,雙區產量總和 Capacity_14 + Capacity_15,新增計算,R5,,1,1,,0
34,z_Capacity_DIFF,,雙區產量差 ABS(Capacity_14 - Capacity_15),新增計算,R5,,1,1,,0
35,Z_Capacity_GROUP,,"0 : 正常產量 : Z_Capacity_SUM > 400 
1 : 單區生產 : Z_Capacity_SUM <= 400  且 Z_Capacity_DIFF >=199 
2 : 雙區減產 : Z_Capacity_SUM <=400 且 Z_Capacity_DIFF <=10
3 : 異常降產 : Z_Capacity_SUM <= 400",新增計算,R5,,1,0,,1
36,SerialNo,,,R_MES_Scada16_CP6,系統資料,,0,0,,1
37,CreatTime,,,R_MES_Scada16_CP6,系統資料,,0,0,,0
38,CAPACITY,,,R_MES_Scada16_CP6,無資料,,0,0,,0
39,R1_TEMP,TRC04-03.PV,R1罐溫實際值,R_MES_Scada16_CP6,R1,,1,1,,0
40,R1_HEATING_TEMP,TRC04-38.PV,2205熱媒系統溫度,R_MES_Scada16_CP6,R1,,1,0,,0
41,R1_LEVEL,LRC04-06P.PV,R1液位實際值,R_MES_Scada16_CP6,R1,轉換為滯留時間,1,0,,0
42,R1_PRESSURE,PRC04-10H.PV,R1罐壓實際值,R_MES_Scada16_CP6,R1,,1,1,,0
43,R1_REFLUX_RATIO,,R1迴流Ratio,R_MES_Scada16_CP6,R1,,1,1,,0
44,R2_TEMP,TRC04-22.PV,R2罐溫實際值,R_MES_Scada16_CP6,R2,,1,2,,0
45,R2_LEVEL,LRC04-24P.PV,R2液位實際值,R_MES_Scada16_CP6,R2,,1,2,,0
46,R2_REFLUX_RATIO,,R2迴流Ratio,R_MES_Scada16_CP6,R2,,1,2,,0
47,SB_PPM,,觸媒添加Ratio,R_MES_Scada16_CP6,R2,已分類,1,0,,0
48,COA_PPM,,調色劑添加Ratio,R_MES_Scada16_CP6,R2,已分類,1,0,,0
49,R4_LEVEL,LRC06-05P.PV,R4液位實際值,R_MES_Scada16_CP6,R4,,1,0,,0
50,R4_TEMP,TRC06-30.PV,R4罐溫實際值,R_MES_Scada16_CP6,R4,,1,0,,0
51,R4_AGI_OP,SIC1204.OP,R4攪拌機INV SP,R_MES_Scada16_CP6,R4,,1,0,,0
52,R4_PRESSURE,PRC06-11.PV,R4罐壓實際值,R_MES_Scada16_CP6,R4,,1,0,,0
53,R4_AGI_AMP,JRC1204.PV,R4攪拌機電流,R_MES_Scada16_CP6,R4,,1,0,,0
54,R2_TEMP_OP,TRC04_22.OP,R2加熱開度,R_MES_Scada16_CP6,R2,,2,1,,0
55,TI02_16_PV,TI02_16.PV,Paste罐溫實際值,R_MES_Scada16_CP6,製漿罐,,3,2,,0
56,EG_DROP,FIC01_15.PV,調配REG下料量實際值,R_MES_Scada16_CP6,製漿罐,,3,1,,0
57,EG_DROP_SP,FIC01_15.SP,調配REG下料量設定值,R_MES_Scada16_CP6,製漿罐,,3,0,,0
58,EG_DROP_OP,FIC01_15.OP,調配REG FCV開度,R_MES_Scada16_CP6,製漿罐,,3,0,,0
59,DEG_FLOW,FIC01_01.PV,DEG下料量實際值,R_MES_Scada16_CP6,製漿罐,,3,0,,0
60,DEG_FLOW_SP,FIC01_01.SP,DEG下料量設定值,R_MES_Scada16_CP6,製漿罐,,3,0,,0
61,DEG_FLOW_OP,FIC01_01.OP,DEG FCV開度,R_MES_Scada16_CP6,製漿罐,,3,0,,0
62,FIC143_01_PV,FIC143_01.PV,磷酸下料量實際值,R_MES_Scada16_CP6,製漿罐,,3,0,,0
63,FIC143_01_SP,FIC143_01.SP,磷酸下料量設定值,R_MES_Scada16_CP6,製漿罐,,3,0,,0
64,FIC143_01_OP,FIC143_01.OP,磷酸FCV開度,R_MES_Scada16_CP6,製漿罐,,3,0,,0
65,TPA_DROP,WI02_07.PV,TPA下料量實際值,R_MES_Scada16_CP6,製漿罐,,3,1,,0
