,num_of_zeros,num_of_nulls,sum_zeros_nulls,zero_null_percent,is_categorical,count,unique,top,freq,mean,std,min,25%,50%,75%,max
PdateTime,0,0,0,0.0,0,11970.0,11960.0,2019/2/27 17:00,4.0,,,,,,,
Line,0,6,6,0.05,1,11964.0,1.0,6.0,11964.0,,,,,,,
Capacity_14,184,121,305,2.55,0,11849.0,,,,270.81230483585114,42.31764964090824,0.0,275.0,282.0,292.0,337.0
R5_AGI_OP_14,0,121,121,1.01,0,11849.0,,,,84.00108025993742,11.608229323606079,10.0,83.0,86.5,89.5,95.0
R5_AGI_AMP_14,0,121,121,1.01,0,11849.0,,,,89.23492260884721,12.184051189271784,0.157727278,88.57938,91.21796737,93.4983122,109.88508049999999
R5_VACCUM_PRESSURE_14,0,121,121,1.01,0,11849.0,,,,1.4674347411196627,0.6296857145900635,0.7710385559999999,1.200747143,1.3503132930000001,1.601084524,6.174000092000001
R5_IN_LEVEL_14,0,121,121,1.01,0,11849.0,,,,2.835151115455986,1.630035877910121,-2.9,1.775859663,2.877186708,4.000276205,17.13104379
R5_OUT_LEVEL_14,0,121,121,1.01,0,11849.0,,,,3.6463084268485195,2.226656256352428,-0.757902875,1.9376655130000002,3.3186266239999997,5.423708191,10.11843116
R5_IN_TEMP_14,0,121,121,1.01,0,11849.0,,,,278.4739201717355,1.8137143555032023,265.2214966,278.4033508,278.7827454,279.4969788,284.97079469999994
R5_OUT_TEMP_14,0,121,121,1.01,0,11849.0,,,,281.72709019234554,2.140241800661295,266.5549011,281.84170530000006,282.28848270000003,282.75778199999996,284.724823
R5_DELETA_TEMP_14,3,121,124,1.04,0,11849.0,,,,3.2531643733403675,0.9564442859343546,-10.06878662,3.0365600589999997,3.4840698239999996,3.708007813,8.125427246000001
CPF_IN_PRESSURE_14,0,121,121,1.01,0,11849.0,,,,37.27710730392287,9.201934722399328,-0.550191537,33.63062959,35.17120339,36.82517115,85.37344381
CPF_OUT_PRESSURE_14,0,121,121,1.01,0,11849.0,,,,14.758879226837658,2.456907336949171,-2.110984602,14.20521468,14.86756079,15.72315452,50.84940007
