,count,mean,std,min,25%,50%,75%,max
SB_PPM,871.0,175.25243700577315,40.48276944824008,12.0,185.0,190.0,190.0,250.0
COA_PPM,871.0,145.55832587404637,176.80663827513567,0.75,75.0,85.0,95.0,600.0
R1_TEMP,871.0,262.2976413285749,2.3981383030942944,253.866058349609,260.936157226563,263.2124827444623,264.0994283806988,266.666107177734
R1_PRESSURE,871.0,0.8329017469501103,0.0736745071744114,0.640642913013048,0.801602989513714,0.8612070128740971,0.8809648137522685,0.929710628572126
R1_REFLUX_RATIO,871.0,4.286632402470276,0.13609342191879428,3.8,4.2,4.3,4.4,4.8
R2_TEMP,871.0,264.4934098339333,1.1265592947845415,253.42708746226398,263.63528000345786,264.931390881371,265.2231018881365,268.013222534982
R2_LEVEL,871.0,56.52296189394563,2.8146053145092425,32.7508817117955,55.25161693478749,57.8262257376219,58.1249211681741,67.1611758749387
R2_REFLUX_RATIO,871.0,5.242491850804888,3.118768571801366,2.5,3.7,4.2,4.5,13.5
z_Capacity_SUM,871.0,503.1058833228014,83.64018940611234,185.0,450.0,550.0,564.0,605.0
z_Capacity_DIFF,871.0,76.05715435049655,86.67057838736059,2.0,21.7248696069705,39.46605484577717,79.38462842091982,335.0
Z_R1_LEVEL_RT,871.0,171.2979221044312,29.684503836341456,141.54623,149.67325499999998,154.7323,186.90146,445.9842
